season,race_name,event_date,circuit_name,country,driver,team,grid_position,qualifying_position,qualifying_time,finish_position,points_scored,championship_points,status,lap_number,lap_time,sector1_time,sector2_time,sector3_time,tyre_compound,tyre_life,is_new_tyre,pit_in_time,pit_out_time,pit_duration,air_temperature,track_temperature,humidity,pressure,rainfall,wind_speed,wind_direction,track_status
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,21.0,70.149,17.459,31.484,21.206,SOFT,24.0,False,,,,29.2,52.8,32.4,938.8,False,2.4,62,12
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,22.0,84.118,17.667,33.687,32.764,SOFT,25.0,False,3787.094,,,29.2,53.0,32.4,938.7,False,2.6,73,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,23.0,122.933,39.762,47.506,35.665,SOFT,26.0,False,,3809.047,,29.1,53.0,32.3,938.8,False,3.3,84,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,24.0,110.849,29.416,45.113,36.32,SOFT,27.0,False,,,,28.7,52.0,33.7,938.8,False,2.1,86,12
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,25.0,115.283,29.044,50.023,36.216,HARD,1.0,True,,,,28.9,52.2,32.7,938.8,False,3.0,87,24
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,26.0,113.743,30.278,54.909,28.556,HARD,2.0,True,,,,27.8,51.7,34.4,938.7,False,2.3,86,4
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,27.0,68.736,17.366,30.56,20.81,HARD,3.0,True,,,,27.8,51.1,35.0,938.7,False,1.4,100,4
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,28.0,68.733,17.37,30.491,20.872,HARD,4.0,True,,,,28.3,51.1,34.4,938.8,False,1.4,72,4
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,29.0,68.52,17.382,30.368,20.77,HARD,5.0,True,,,,28.6,52.5,33.8,938.7,False,2.0,97,4
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,30.0,68.524,17.336,30.375,20.813,HARD,6.0,True,,,,29.0,52.8,33.5,938.7,False,1.6,68,41
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,31.0,68.433,17.326,30.497,20.61,HARD,7.0,True,,,,29.2,52.5,33.2,938.7,False,1.8,101,12
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,32.0,68.26,17.334,30.436,20.49,HARD,8.0,True,,,,29.1,52.4,33.3,938.7,False,2.8,93,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,33.0,68.194,17.229,30.345,20.62,HARD,9.0,True,,,,29.1,51.8,32.6,938.7,False,3.0,77,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,34.0,68.235,17.282,30.391,20.562,HARD,10.0,True,,,,28.7,51.7,33.3,938.7,False,2.9,80,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,35.0,68.303,17.374,30.365,20.564,HARD,11.0,True,,,,28.5,51.6,34.9,938.7,False,2.8,87,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,36.0,68.131,17.406,30.287,20.438,HARD,12.0,True,,,,28.7,51.6,33.1,938.6,False,3.3,93,1
