season,race_name,event_date,driver,grid_position,finish_position,points,team,avg_lap_time,std_lap_time,best_lap_time,avg_sector1,avg_sector2,avg_sector3,main_compound,pit_stop_count,status,avg_air_temp,avg_track_temp,avg_humidity,rain_probability,is_classified,position_gain
2018,Abu Dhabi Grand Prix,2018-11-25,ALO,15.0,11.0,0.0,McLaren,108.58235294117647,9.562333407330103,102.393,19.340867924528304,46.88938888888889,44.92440740740741,SUPERSOFT,2,+1 Lap,30.86851851851852,32.701851851851856,47.711111111111116,0.05555555555555555,1,4.0
2018,Abu Dhabi Grand Prix,2018-11-25,BOT,2.0,5.0,10.0,Mercedes,106.66973076923077,8.334256933402994,100.953,19.459648148148148,45.999,44.127236363636364,ULTRASOFT,4,Finished,30.81090909090909,32.66,47.89090909090909,0.07272727272727272,1,-3.0
2018,Abu Dhabi Grand Prix,2018-11-25,ERI,12.0,18.0,0.0,Sauber,112.06738095238094,12.882179351632201,106.077,19.956652173913042,49.688500000000005,47.927083333333336,SUPERSOFT,0,Power loss,32.9,34.308,37.564,0.0,0,-6.0
2018,Abu Dhabi Grand Prix,2018-11-25,GAS,17.0,16.0,0.0,Toro Rosso,109.23751162790697,10.092644948938698,103.988,19.7046,47.259565217391305,45.29671739130435,SUPERSOFT,2,Engine,31.585106382978722,33.21063829787234,44.202127659574465,0.06382978723404255,0,1.0
2018,Abu Dhabi Grand Prix,2018-11-25,GRO,7.0,9.0,2.0,Haas F1 Team,108.3547450980392,8.975111337121426,103.195,19.236245283018867,46.671925925925926,45.21157407407408,SUPERSOFT,2,+1 Lap,30.874074074074073,32.70740740740741,47.61296296296296,0.05555555555555555,1,-2.0
2018,Abu Dhabi Grand Prix,2018-11-25,HAM,1.0,1.0,25.0,Mercedes,105.61146153846154,8.099087030275811,101.357,19.17862962962963,45.84014545454546,43.70463636363637,SUPERSOFT,2,Finished,30.87636363636364,32.72,47.594545454545454,0.07272727272727272,1,0.0
2018,Abu Dhabi Grand Prix,2018-11-25,HAR,16.0,12.0,0.0,Toro Rosso,109.05301960784313,9.910570545614807,104.174,19.741716981132075,46.813944444444445,45.00487037037037,SUPERSOFT,2,+1 Lap,30.812962962962963,32.63703703703704,47.961111111111116,0.05555555555555555,1,4.0
2018,Abu Dhabi Grand Prix,2018-11-25,HUL,10.0,20.0,0.0,Renault,,,,,,,HYPERSOFT,0,Collision,32.3,34.1,38.7,0.0,0,-10.0
2018,Abu Dhabi Grand Prix,2018-11-25,LEC,8.0,7.0,6.0,Sauber,107.5365,8.82555956233004,102.876,19.305962962962962,46.11825454545454,44.90621818181818,SUPERSOFT,2,Finished,30.778181818181817,32.64909090909091,48.07454545454545,0.05454545454545454,1,1.0
2018,Abu Dhabi Grand Prix,2018-11-25,MAG,13.0,10.0,1.0,Haas F1 Team,108.57056862745098,9.851232552843134,102.822,19.30422641509434,47.04044444444445,44.75490740740741,SUPERSOFT,2,+1 Lap,30.88703703703704,32.71296296296296,47.587037037037035,0.05555555555555555,1,3.0
